Keypointdetector,Avg Keypoint Detection Time,Descriptor Algorithm,Avg Descriptor extraction time,FocusOnVehicle
SIFT,42.6659,BRISK,1.06098,true
SIFT,38.5257,BRIEF,0.635101,true
SIFT,40.8802,FREAK,24.5594,true
SIFT,40.834,SIFT,36.0463,true
SHITOMASI,7.09139,BRISK,0.95265,true
SHITOMASI,7.34322,BRIEF,0.387756,true
SHITOMASI,7.42908,ORB,0.633643,true
SHITOMASI,7.14005,FREAK,24.6095,true
SHITOMASI,7.00172,SIFT,6.29375,true
HARRIS,15.106,BRISK,0.884292,true
HARRIS,14.7512,BRIEF,0.318743,true
HARRIS,14.8949,ORB,0.624759,true
HARRIS,15.4945,FREAK,24.6277,true
HARRIS,14.9975,SIFT,6.91048,true
FAST,0.000501849,BRISK,0.794714,true
FAST,0.000487328,BRIEF,0.496589,true
FAST,0.000498319,ORB,0.804925,true
FAST,0.000497468,FREAK,24.3724,true
FAST,0.000498116,SIFT,7.32304,true
BRISK,26.4136,BRISK,2.13517,true
BRISK,25.1855,BRIEF,0.593762,true
BRISK,24.9952,ORB,3.16102,true
BRISK,25.3784,FREAK,23.8548,true
BRISK,25.6091,SIFT,12.4751,true
ORB,10.601,BRISK,0.954482,true
ORB,4.60393,BRIEF,0.370296,true
ORB,4.58302,ORB,3.12111,true
ORB,4.881,FREAK,25.4902,true
ORB,4.68516,SIFT,15.8851,true
AKAZE,28.7675,BRISK,1.26095,true
AKAZE,28.4259,BRIEF,0.79956,true
AKAZE,28.0962,ORB,2.20942,true
AKAZE,28.335,FREAK,24.4613,true
AKAZE,28.6357,AKAZE,23.2561,true
AKAZE,28.7814,SIFT,10.0399,true
